"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Country","Country ID"
-1.7330818741,-2.1099114028,-1.9409366192,-2.3398131529,-2.398575244,-2.1518936671,-2.0349460459,-1.700035607,-1.7822972972,-1.7108994413,-1.787687563,-1.7173827718,-1.7569748711,-1.8978001975,-1.9159364492,-1.8289147046,-1.8251022509,-1.6119350475,-1.3503745577,-1.4934061601,-1.4266656897,-1.4097640262,"Angola","afago"
,,,,,,,,,,,,,,-1.0943582142,-0.9569854285,-0.5242637062,-0.3905993972,-0.4377210552,-0.4357612066,-0.6194868159,-0.5343760662,"Benin","afben"
,,,,,,,,,,,,-1.2414897601,-1.4114418778,-1.4249695179,-1.3779379148,-0.9428330175,-1.0639929966,-1.2541877031,-1.4961611129,-1.542577566,-1.4439525813,"Burkina Faso","afbfa"
,,-0.1993751152,-0.2640927574,-0.6418976326,-0.6913722426,-0.7466174206,-0.8192063223,-0.8371191769,-0.9037642752,-0.6565959107,-0.3105446034,-0.1923422021,-0.1423530345,-0.311657985,-0.4057797334,-0.3337084621,-0.3485718447,-0.5205515696,-0.4689728011,-0.4632924224,-0.361436783,"Botswana","afbwa"
-1.4952790497,-1.4987223625,-1.0461480656,-0.7946767192,-0.793099564,-0.8539738681,-0.7941321504,-0.729120768,-0.7845449018,-0.8137533945,-0.9406238391,-1.0965305257,-1.2208970212,-1.1363911899,-1.1771684985,-1.0901536486,-0.8841431498,-0.8380451233,-0.8414457971,-0.927977588,-0.9548363148,-0.9591791516,"Cote d'Ivoire","afciv"
-2.1382793107,-1.9110499992,-1.9201099276,-1.7665692856,-1.446618636,-1.3829486859,-1.2602841594,-1.685414764,-1.7240231047,-1.2412187648,-1.0108123496,-1.0117858351,-1.1161878954,-0.9946136847,-1.0394803689,-0.8986794759,-0.8348302032,-0.8018444961,-0.7197700609,-0.8726565032,-1.1534965917,-1.1842030417,"Cameroon","afcmr"
-1.906394207,-1.8662617292,-1.6176467505,-1.6316721623,-1.5042218084,-1.9183309837,-1.6986602814,-1.7145236871,-1.7713877132,-1.7506167935,-1.297485297,-1.5894183642,-1.6389296049,-1.0808933964,-1.2403448355,-1.17330825,-1.5447798978,-1.402815499,-1.825379022,-1.8313697524,-1.8525562605,-1.6927988826,"Democratic Republic of the Congo","afcod"
-1.5766873044,-1.5027422325,-1.7909348107,-1.6105665375,-1.9840597265,-2.2524561219,-2.1890012318,-2.1350557958,-2.0811909598,-1.885267064,-1.3768526092,-1.4846760084,-1.4332252754,-1.4895700724,-1.3136706408,-1.497449555,-1.3184638353,-1.3780859891,-1.1537697791,-0.9757223293,-0.9820987487,-1.1172613676,"Republic of the Congo","afcog"
-0.983397936,-0.8399451881,-0.7911319813,-0.589645281,-0.849902853,-0.9679587716,-1.2108678834,-0.9799626433,-0.9441723336,-0.7897074215,-0.789962983,-0.8621923789,-0.7627631675,-0.8308717519,-1.2778970359,-1.3272278801,-1.3187037002,-1.0550602366,-1.0666697366,-1.0185783325,-0.9702579924,-1.0019851258,"Algeria","afdza"
-0.4593124193,-0.4873600634,-0.4818576325,-0.5357312417,-0.4867594485,-0.4367443191,-0.3954522894,-0.2522282811,-0.2965471197,-0.3124679858,-0.2369469189,-0.2347256805,-0.2512029345,-0.3244010703,-0.3088505231,-0.1714480621,-0.0920460179,-0.1275756594,-0.0998356315,-0.0313535649,-0.0259636453,-0.0295609099,"Egypt","afegy"
